id	name	company_type	industry_code
1	Fatz	private	58
2	Dynava	public	45
3	Eare	public	119
4	Trunyx	public	117
5	Riffpedia	private	140
6	Skinte	public	24
7	Eayo	public	52
8	Twitterlist	private	102
9	Trudeo	private	21
10	Demimbu	private	52
11	Gigaclub	private	31
12	Blognation	private	91
13	Flipbug	private	25
14	Twinte	public	40
15	Skinte	public	19
16	Kwimbee	private	11
17	Browsebug	private	75
18	Skippad	public	59
19	Flipstorm	private	5
20	Jetwire	public	32
21	Plambee	public	52
22	Wordtune	private	63
23	Brainverse	public	122
24	Zoomdog	private	7
25	Trudoo	private	38
26	Jabberstorm	private	113
27	Tazzy	public	136
28	Feedfish	public	54
29	Lazzy	private	125
30	Oba	private	98
31	Avamm	private	13
32	Cogibox	private	68
33	Quamba	private	80
34	Muxo	public	82
35	Chatterbridge	private	147
36	Gabcube	public	41
37	Ntag	public	148
38	Mybuzz	private	127
39	Tagcat	private	90
40	Wordpedia	public	129
41	Rhyzio	public	11
42	Skalith	private	30
43	Jaxnation	private	66
44	Dabfeed	private	81
45	Bluezoom	public	128
46	Browsezoom	private	123
47	Wikivu	private	9
48	Skipstorm	public	138
49	Mybuzz	public	41
50	Roombo	private	15
51	Youtags	public	95
52	Photobug	private	12
53	Browsetype	public	71
54	Myworks	private	125
55	Thoughtstorm	public	132
56	Kamba	private	111
57	Wordpedia	private	133
58	Twimbo	public	127
59	Dabfeed	private	35
60	Eire	public	28
61	Trunyx	public	110
62	Innotype	private	49
63	Twinte	private	33
64	Kazu	public	137
65	Yodel	public	18
66	Oloo	private	38
67	Gigazoom	private	106
68	Aibox	public	22
69	Divape	private	34
70	Riffpath	private	117
71	Oyope	public	20
72	Realblab	private	32
73	Demizz	private	28
74	Eabox	private	31
75	Topdrive	public	100
76	Twitternation	public	143
77	Jaxbean	private	99
78	Twitterlist	public	125
79	Trunyx	public	76
80	Tagcat	private	23
81	Midel	private	45
82	Meevee	public	70
83	Einti	private	98
84	Dynabox	private	101
85	Topdrive	private	78
86	Yadel	private	12
87	BlogXS	public	37
88	Gabcube	private	88
89	Izio	public	116
90	Thoughtbeat	private	132
91	Rhyzio	private	4
92	Npath	private	118
93	Leenti	private	32
94	Oodoo	public	82
95	Agivu	private	44
96	Yodoo	public	101
97	Jazzy	private	44
98	Realbridge	public	123
99	Jatri	private	41
100	Bluezoom	public	30
101	Aimbo	public	85
102	Jamia	private	21
103	Skipfire	private	91
104	Twinte	private	126
105	Twitterlist	public	134
106	Divanoodle	private	115
107	Voonte	public	28
108	Wordtune	private	143
109	Linkbridge	private	113
110	Topicstorm	public	77
111	Flashspan	public	122
112	Agivu	private	71
113	Wikibox	private	77
114	Zoovu	private	146
115	Quire	public	50
116	Meevee	public	3
117	Twitternation	public	145
118	Flashpoint	private	124
119	Feedfire	public	87
120	Avavee	private	91
121	Photojam	public	38
122	Gigazoom	private	50
123	Topiczoom	public	41
124	Zoonoodle	private	29
125	Skidoo	private	31
126	Lazz	private	44
127	Cogibox	public	125
128	Latz	public	70
129	Meevee	public	27
130	Wikido	private	14
131	Centimia	public	131
132	Rhynyx	public	116
133	Zoovu	private	27
134	Gabvine	private	3
135	Abatz	private	28
